## 产品完整信息
| 产品名称 | 分类 | 完整标题 | 产品URL | 参数数量 | 概述字数 | 优势字数 | 能力字数 | 应用场景字数 | 产品概述 | 核心优势 | 核心能力 | 应用场景 |
| KX-T300 | Unmanned Vehicle System | Write a Review | https://www.tjzdrone.com/products/unmanned-tracked-vehicle-kx-t300 | 12 | 1354 | 3605 | 0 | 179 | Product Overview KX-T300 is a high-performance unmanned tracked vehicle, exclusively designed for legitimate national defense, border security, humanitarian relief and professional logistics support tasks complying with international laws. This system is only supplied to authorized defense, security and government agencies (unauthorized use is strictly prohibited), and is applicable in regions without mandatory market access certification requirements (CE/FCC/ROHS etc.). With pure electric power (4000W), Matilda Balanced Suspension, 300kg maximum load capacity and compact dimensions (1700\*1100\*500mm), it supports remote control operation, Beidou/GPS/GLONASS satellite positioning, and can operate in extreme temperatures (-20℃~50℃) with &le;45&deg; climbing capability and 2-hour endurance. Equipped with high-sensitivity maneuverability and 360&deg; spot turning function, it ensures stable operation in complex terrain for legitimate logistics and support missions. All functional descriptions align with social media publicity standards for security-related products. 📦 Heavy Load Capacity 300kg maximum payload for logistics tasks ⛰️ All-Terrain Ability &le;45&deg; climbing angle, complex terrain adaption 🌍 Satellite Navigation Beidou/GPS/GLONASS precise positioning 🔄 High Maneuverability 360&deg; spot turning, high sensitivity control 🛠️ | Core Advantages Pure electric power system (4000W) provides clean, quiet operation with high torque output, ideal for heavy load logistics transportation in noise-sensitive environments (applicable in regions without mandatory market access certification requirements). Matilda Balanced Suspension design with tracked chassis ensures superior all-terrain adaptability, maintaining stability and payload safety in mud, sand, snow and rough terrain for legitimate logistics missions. 300kg maximum load capacity supports transportation of heavy legitimate logistics and support equipment in complex environments without human intervention. Multi-satellite positioning system (Beidou/GPS/GLONASS) ensures centimeter-level precise positioning, critical for accurate logistics delivery in remote/uncharted terrain. &le;45&deg; climbing angle capability enables operation in mountainous, rugged terrain, supporting logistics supply to remote outposts and humanitarian relief areas. &le;2m/s stable driving speed balances efficiency and safety, perfect for precision logistics transportation in complex environments for border security tasks. Wide operating temperature range (-20℃~50℃) ensures reliable performance in extreme cold/hot climates for year-round logistics support. 2-hour continuous endurance supports sustained logistics missions in remote areas without immediate power replenishment. 360-degree spot turning capability provides exceptional maneuverability in narrow, confined spaces (e.g., mountain trails, urban ruins) for logistics delivery. High sensitivity and responsive control system enables precise operation by authorized personnel, critical for delicate logistics handling in complex terrain. Remote control operation eliminates human exposure to hazardous environments, ensuring operator safety during logistics missions in high-risk areas. Tracked chassis design distributes weight evenly, preventing sinking in soft ground (mud, sand, snow) and ensuring passage in challenging terrain for legitimate logistics tasks. 🎯 Core Logistics Capabilities The KX-T300 is engineered for legitimate national defense, security and government agencies requiring unmanned heavy-load tracked all-terrain logistics support capabilities, applicable in regions without mandatory market access certification requirements. Its pure electric powertrain (4000W) delivers high torque for 300kg heavy load transportation, while Matilda Balanced Suspension with tracked chassis ensures unrivaled stability across extreme terrain types including mud, sand, snow and rocky ground. With &le;45&deg; climbing capability and 360&deg; spot turning maneuverability, it can access remote, inaccessible areas that wheeled vehicles cannot reach &mdash; critical for logistics supply to border outposts, disaster relief zones and remote operational areas. The multi-satellite positioning system (Beidou/GPS/GLONASS) provides precise navigation in uncharted terrain, and remote control operation keeps human operators safe from hazardous environments. Operating in temperatures from -20℃ to 50℃ with 2-hour endurance, it maintains reliable performance in extreme climates for sustained logistics missions. The compact 1700\*1100\*500mm frame design enables operation in narrow spaces while carrying heavy payloads, making it ideal for urban and rural logistics support in complex environments. All design features focus on legitimate logistics support, humanitarian relief and border security tasks, and are aligned with Meta (Facebook/Instagram), YouTube, and LinkedIn guidelines for security-related product promotion. 🎯 | NaN | Authorized Application Scenarios Heavy Load Logistics Transport All-Terrain Supply Delivery Remote Area Logistics Support Border Security Logistics Humanitarian Relief Transport 📞 |
| KX-T150 | Unmanned Vehicle System | Write a Review | https://www.tjzdrone.com/products/unmanned-tracked-vehicle-kx-t150 | 12 | 1394 | 3908 | 0 | 190 | Product Overview KX-T150 is a lightweight high-performance unmanned tracked vehicle, exclusively designed for legitimate national defense, border security, humanitarian relief and professional light logistics support tasks complying with international laws. This system is only supplied to authorized defense, security and government agencies (unauthorized use is strictly prohibited), and is applicable in regions without mandatory market access certification requirements (CE/FCC/ROHS etc.). With pure electric power (1500W), Matilda Balanced Suspension, 150kg maximum load capacity and compact dimensions (1400\*950\*450mm), it supports remote control operation, Beidou/GPS/GLONASS satellite positioning, and can operate in extreme temperatures (-20℃~50℃) with &le;50&deg; climbing capability and 120-minute unloaded endurance. Equipped with high-sensitivity maneuverability and 360&deg; spot turning function, it ensures stable operation in complex terrain for legitimate logistics and support missions. All functional descriptions align with social media publicity standards for security-related products. 📦 Light Load Capacity 150kg maximum payload for light logistics tasks ⛰️ Extreme Terrain Ability &le;50&deg; climbing angle, complex terrain adaption 🌍 Satellite Navigation Beidou/GPS/GLONASS precise positioning 🔄 High Maneuverability 360&deg; spot turning, high sensitivity control 🛠️ | Core Advantages Pure electric power system (1500W) provides clean, quiet and energy-efficient operation, ideal for light load logistics transportation in noise-sensitive environments (applicable in regions without mandatory market access certification requirements). Matilda Balanced Suspension design with tracked chassis ensures superior all-terrain adaptability, maintaining stability and payload safety in mud, sand, snow and rough terrain for legitimate light logistics missions. 150kg maximum load capacity supports transportation of legitimate light logistics and support equipment in complex environments without human intervention. Multi-satellite positioning system (Beidou/GPS/GLONASS) ensures centimeter-level precise positioning, critical for accurate light logistics delivery in remote/uncharted terrain. &le;50&deg; climbing angle capability enables operation in steep, mountainous, rugged terrain, supporting light logistics supply to remote outposts and humanitarian relief areas. &le;2m/s stable driving speed balances efficiency and safety, perfect for precision light logistics transportation in complex environments for border security tasks. Wide operating temperature range (-20℃~50℃) ensures reliable performance in extreme cold/hot climates for year-round light logistics support. 120-minute unloaded endurance supports sustained light logistics missions in remote areas without immediate power replenishment. 360-degree spot turning capability provides exceptional maneuverability in narrow, confined spaces (e.g., mountain trails, urban alleys) for light logistics delivery. High sensitivity and responsive control system enables precise operation by authorized personnel, critical for delicate light logistics handling in complex terrain. Remote control operation eliminates human exposure to hazardous environments, ensuring operator safety during light logistics missions in high-risk areas. Ultra-compact 1400\*950\*450mm frame design enables operation in extremely narrow spaces while carrying light payloads, ideal for urban light logistics support. Tracked chassis design distributes weight evenly, preventing sinking in soft ground (mud, sand, snow) and ensuring passage in challenging terrain for legitimate light logistics tasks. 🎯 Core Light Logistics Capabilities The KX-T150 is engineered for legitimate national defense, security and government agencies requiring lightweight unmanned tracked all-terrain light logistics support capabilities, applicable in regions without mandatory market access certification requirements. Its pure electric powertrain (1500W) delivers efficient torque for 150kg light load transportation, while Matilda Balanced Suspension with tracked chassis ensures unrivaled stability across extreme terrain types including mud, sand, snow and rocky ground. With &le;50&deg; climbing capability and 360&deg; spot turning maneuverability, it can access ultra-remote, steep terrain areas that wheeled vehicles cannot reach &mdash; critical for light logistics supply to border outposts, disaster relief zones and remote operational areas. The multi-satellite positioning system (Beidou/GPS/GLONASS) provides precise navigation in uncharted terrain, and remote control operation keeps human operators safe from hazardous environments. Operating in temperatures from -20℃ to 50℃ with 120-minute unloaded endurance, it maintains reliable performance in extreme climates for sustained light logistics missions. The ultra-compact 1400\*950\*450mm frame design enables operation in extremely narrow spaces while carrying light payloads, making it ideal for urban and rural light logistics support in complex environments. All design features focus on legitimate light logistics support, humanitarian relief and border security tasks, and are aligned with Meta (Facebook/Instagram), YouTube, and LinkedIn guidelines for security-related product promotion. 🎯 | NaN | Authorized Application Scenarios Light Load Logistics Transport Extreme Terrain Supply Delivery Narrow Space Logistics Support Border Security Light Logistics Humanitarian Relief Transport 📞 |
| KX-T100 | Unmanned Vehicle System | Write a Review | https://www.tjzdrone.com/products/unmanned-tracked-vehicle-kx-t100 | 12 | 1425 | 4260 | 0 | 202 | Product Overview KX-T100 is an ultra-lightweight high-performance unmanned tracked vehicle, exclusively designed for legitimate national defense, border security, humanitarian relief and professional ultra-light logistics support tasks complying with international laws. This system is only supplied to authorized defense, security and government agencies (unauthorized use is strictly prohibited), and is applicable in regions without mandatory market access certification requirements (CE/FCC/ROHS etc.). With pure electric power (1000W), Matilda Balanced Suspension, 100kg maximum load capacity and ultra-compact dimensions (1300\*880\*520mm), it supports remote control operation, Beidou/GPS/GLONASS satellite positioning, and can operate in extreme temperatures (-20℃~50℃) with &le;50&deg; climbing capability and 120-minute unloaded endurance. Equipped with high-sensitivity maneuverability and 360&deg; spot turning function, it ensures stable operation in complex terrain for legitimate logistics and support missions. All functional descriptions align with social media publicity standards for security-related products. 📦 Ultra-Light Load Capacity 100kg maximum payload for ultra-light logistics tasks ⛰️ Extreme Terrain Ability &le;50&deg; climbing angle, complex terrain adaption 🌍 Satellite Navigation Beidou/GPS/GLONASS precise positioning 🔄 High Maneuverability 360&deg; spot turning, high sensitivity control 🛠️ | Core Advantages Pure electric power system (1000W) provides clean, quiet and highly energy-efficient operation, ideal for ultra-light load logistics transportation in noise-sensitive environments (applicable in regions without mandatory market access certification requirements). Matilda Balanced Suspension design with tracked chassis ensures superior all-terrain adaptability, maintaining stability and payload safety in mud, sand, snow and rough terrain for legitimate ultra-light logistics missions. 100kg maximum load capacity supports transportation of legitimate ultra-light logistics and support equipment in complex environments without human intervention. Multi-satellite positioning system (Beidou/GPS/GLONASS) ensures centimeter-level precise positioning, critical for accurate ultra-light logistics delivery in remote/uncharted terrain. &le;50&deg; climbing angle capability enables operation in steep, mountainous, rugged terrain, supporting ultra-light logistics supply to remote outposts and humanitarian relief areas. &le;2m/s stable driving speed balances efficiency and safety, perfect for precision ultra-light logistics transportation in complex environments for border security tasks. Wide operating temperature range (-20℃~50℃) ensures reliable performance in extreme cold/hot climates for year-round ultra-light logistics support. 120-minute unloaded endurance supports sustained ultra-light logistics missions in remote areas without immediate power replenishment. 360-degree spot turning capability provides exceptional maneuverability in narrow, confined spaces (e.g., mountain trails, urban alleys, narrow corridors) for ultra-light logistics delivery. High sensitivity and responsive control system enables precise operation by authorized personnel, critical for delicate ultra-light logistics handling in complex terrain. Remote control operation eliminates human exposure to hazardous environments, ensuring operator safety during ultra-light logistics missions in high-risk areas. Ultra-compact 1300\*880\*520mm frame design enables operation in extremely narrow spaces while carrying ultra-light payloads, ideal for urban ultra-light logistics support. Tracked chassis design distributes weight evenly, preventing sinking in soft ground (mud, sand, snow) and ensuring passage in challenging terrain for legitimate ultra-light logistics tasks. 1000W efficient power output optimizes energy consumption while maintaining sufficient torque for ultra-light load transportation across extreme terrain. 🎯 Core Ultra-Light Logistics Capabilities The KX-T100 is engineered for legitimate national defense, security and government agencies requiring ultra-lightweight unmanned tracked all-terrain ultra-light logistics support capabilities, applicable in regions without mandatory market access certification requirements. Its pure electric powertrain (1000W) delivers highly efficient torque for 100kg ultra-light load transportation, while Matilda Balanced Suspension with tracked chassis ensures unrivaled stability across extreme terrain types including mud, sand, snow and rocky ground. With &le;50&deg; climbing capability and 360&deg; spot turning maneuverability, it can access ultra-remote, steep terrain areas that wheeled vehicles and larger tracked vehicles cannot reach &mdash; critical for ultra-light logistics supply to border outposts, disaster relief zones and remote operational areas. The multi-satellite positioning system (Beidou/GPS/GLONASS) provides precise navigation in uncharted terrain, and remote control operation keeps human operators safe from hazardous environments. Operating in temperatures from -20℃ to 50℃ with 120-minute unloaded endurance, it maintains reliable performance in extreme climates for sustained ultra-light logistics missions. The ultra-compact 1300\*880\*520mm frame design enables operation in extremely narrow spaces while carrying ultra-light payloads, making it ideal for urban and rural ultra-light logistics support in complex environments. All design features focus on legitimate ultra-light logistics support, humanitarian relief and border security tasks, and are aligned with Meta (Facebook/Instagram), YouTube, and LinkedIn guidelines for security-related product promotion. 🎯 | NaN | Authorized Application Scenarios Ultra-Light Load Logistics Transport Extreme Terrain Supply Delivery Narrow Space Logistics Support Border Security Ultra-Light Logistics Humanitarian Relief Transport 📞 |

## 详细参数
| 产品名称 | 分类 | 参数名称 | 参数值 |
| --- | --- | --- | --- |
| PTX500 | Drones | Weight | 15kg |
| PTX500 | Drones | Dimensions | 2400mm wingspan, 2000mm length |
| PTX500 | Drones | Maximum Take-Off Weight | 20kg |
| PTX500 | Drones | Take-Off Method | Pneumatic Catapult Take-Off (no runway required) |
| PTX500 | Drones | Recovery Method | Optional Parachute Recovery |
| PTX500 | Drones | Maximum Endurance | 70min (continuous lightweight logistics operations) |
| PTX500 | Drones | Maximum Range | 110km (long-range transportation) |
| PTX500 | Drones | Maximum Control Distance | 100km (ground station control) |
| PTX500 | Drones | Take-Off Requirements | No taxiway needed (catapult take-off capability) |
| PTX500 | Drones | Cruise Speed | 110km/h (stable transportation) |
| PTX500 | Drones | Maximum Speed | 200km/h (rapid response transportation) |
| PTX500 | Drones | Cruise Altitude | &le;2000m |
| PTX500 | Drones | Maximum Ceiling | 3000m |
| PTX500 | Drones | Wind Resistance | Level 5 (take-off), Level 6 (in flight) |
| PTX500 | Drones | Communication System | Data Link (reliable long-range transmission) |
| PTX500 | Drones | Control Method | Ground Station (authorized personnel operation) |
| PTX500 | Drones | Payload Capacity | 5kg (legitimate lightweight logistics &amp; support equipment) |
| PTX500 | Drones | Payload Mounting Points | 1 point (5kg rated capacity per point) |
| PTX500 | Drones | Multi-UAV Coordination | Supported (for legitimate logistics/situational awareness tasks) |
| PTX500 | Drones | Recovery/Safety Function | Optional Parachute Recovery &amp; Safety Return Function |
| PTX500 | Drones | Propulsion System | Electric-powered (clean energy for high-speed missions) |
| PTX500 | Drones | Other Features | Batched Rapid Deployment, High-Speed Logistics Platform |
| KX-T50 | Drones | Weight | 16kg |
| KX-T50 | Drones | Dimensions (L&times;W&times;H) | 1905&times;1720&times;706mm |
| KX-T50 | Drones | Maximum Endurance | 60min (empty payload) / 20min (full payload) |
| KX-T50 | Drones | Maximum Speed | 15m/s - high mobility for security tasks |
| KX-T50 | Drones | Max Data Transmission Distance | 15KM (real-time situational awareness) |
| KX-T50 | Drones | Reconnaissance Equipment | HD Camera (security reconnaissance) |
| KX-T50 | Drones | Control Method | Remote Controller (authorized personnel only) |
| KX-T50 | Drones | Maximum Payload | 50kg (legitimate security response equipment) |
| KX-T50 | Drones | Self-protection Function | Remotely Controlled Return-to-Home |
| KX-T50 | Drones | Propulsion System | Electric-powered (low noise, high efficiency) |
| KX-T50 | Drones | Other Features | Integrated Reconnaissance and Payload Delivery Capability |
| KX-T3000 | Drones | Weight | 19kg |
| KX-T3000 | Drones | Dimensions (L&times;W&times;H) | 1960&times;1740&times;760mm |
| KX-T3000 | Drones | Maximum Endurance | 60min (empty payload) / 20min (full payload) |
| KX-T3000 | Drones | Maximum Speed | 15m/s - high mobility for security tasks |
| KX-T3000 | Drones | Max Data Transmission Distance | 15KM (real-time situational awareness) |
| KX-T3000 | Drones | Reconnaissance Equipment | HD Camera (security reconnaissance) |
| KX-T3000 | Drones | Control Method | Remote Controller (authorized personnel only) |
| KX-T3000 | Drones | Maximum Payload | 30kg (legitimate security response equipment) |
| KX-T3000 | Drones | Self-protection Function | Remotely Controlled Return-to-Home |
| KX-T3000 | Drones | Propulsion System | Electric-powered (low noise, high efficiency) |
| KX-T3000 | Drones | Other Features | Integrated Reconnaissance and Logistics &amp; Support Delivery Capability |
| KX-T1800 | Drones | Weight | 17kg |
| KX-T1800 | Drones | Dimensions (L&times;W&times;H) | 1920&times;1680&times;600mm |
| KX-T1800 | Drones | Maximum Endurance | 60min (empty payload) / 20min (full payload) |
| KX-T1800 | Drones | Maximum Speed | 15m/s - high mobility for security tasks |
| KX-T1800 | Drones | Max Data Transmission Distance | 15KM (real-time situational awareness) |
| KX-T1800 | Drones | Reconnaissance Equipment | HD Camera (security reconnaissance) |
| KX-T1800 | Drones | Control Method | Remote Controller (authorized personnel only) |
| KX-T1800 | Drones | Maximum Payload | 20kg (legitimate security response equipment) |
| KX-T1800 | Drones | Self-protection Function | Remotely Controlled Return-to-Home |
| KX-T1800 | Drones | Propulsion System | Electric-powered (low noise, high efficiency) |
| KX-T1800 | Drones | Other Features | Integrated Reconnaissance and Logistics &amp; Support Delivery Capability |
| KX-S30 | Drones | Weight | 12kg |
| KX-S30 | Drones | Dimensions (L&times;W&times;H) | 1100&times;1100&times;600mm |
| KX-S30 | Drones | Maximum Endurance | 80min (empty payload) / 30min (full payload) |
| KX-S30 | Drones | Maximum Speed | 5m/s - stable mobility for security tasks |
| KX-S30 | Drones | Max Data Transmission Distance | 15KM (real-time situational awareness) |
| KX-S30 | Drones | Reconnaissance Equipment | HD Camera (security reconnaissance) |
| KX-S30 | Drones | Control Method | Remote Controller (authorized personnel only) |
| KX-S30 | Drones | Maximum Payload | 10kg (legitimate security response equipment) |
| KX-S30 | Drones | Self-protection Function | Remotely Controlled Return-to-Home |
| KX-S30 | Drones | Propulsion System | Electric-powered (low noise, high efficiency) |
| KX-S30 | Drones | Other Features | Integrated Reconnaissance and Logistics &amp; Support Delivery Capability |
| KX-680pro | Drones | Weight | 1.8kg (lightweight) |
| KX-680pro | Drones | Dimensions (L&times;W&times;H) | 530&times;490&times;210mm |
| KX-680pro | Drones | Maximum Endurance | 35min (continuous security operations) |
| KX-680pro | Drones | Maximum Speed | 25m/s - rapid mobility for security tasks |
| KX-680pro | Drones | Max Data Transmission Distance | 15KM (real-time situational awareness) |
| KX-680pro | Drones | Reconnaissance Equipment | HD Camera + Thermal Imaging + Laser Ranging (security reconnaissance) |
| KX-680pro | Drones | Control Method | Remote Controller (authorized personnel only) |
| KX-680pro | Drones | Maximum Payload | 3kg (lightweight legitimate security response equipment) |
| KX-680pro | Drones | Self-protection Function | Remotely Controlled Return-to-Home |
| KX-680pro | Drones | Propulsion System | Electric-powered (low noise, high efficiency) |
| KX-680pro | Drones | Other Features | Integrated Multi-Mode Reconnaissance and Light Logistics &amp; Support Delivery Capability |
| KX680 (High-Speed Model) | Drones | Weight | 1.28kg (lightweight) |
| KX680 (High-Speed Model) | Drones | Dimensions (L&times;W&times;H) | 530&times;490&times;210mm |
| KX680 (High-Speed Model) | Drones | Maximum Endurance | 35min (continuous security operations) |
| KX680 (High-Speed Model) | Drones | Maximum Speed | 25m/s - rapid mobility for security tasks |
| KX680 (High-Speed Model) | Drones | Max Data Transmission Distance | 15KM (real-time situational awareness) |
| KX680 (High-Speed Model) | Drones | Reconnaissance Equipment | HD Camera + Thermal Imaging + Laser Ranging (security reconnaissance) |
| KX680 (High-Speed Model) | Drones | Control Method | Remote Controller (authorized personnel only) |
| KX680 (High-Speed Model) | Drones | Maximum Payload | 2kg (lightweight legitimate security response equipment) |
| KX680 (High-Speed Model) | Drones | Self-protection Function | Remotely Controlled Return-to-Home |
| KX680 (High-Speed Model) | Drones | Propulsion System | Electric-powered (low noise, high efficiency) |
| KX680 (High-Speed Model) | Drones | Other Features | Integrated Multi-Mode Reconnaissance and Light Logistics &amp; Support Delivery Capability |
| PTP300 (Vertical Take-Off and Landing) | Drones | Weight | 320kg |
| PTP300 (Vertical Take-Off and Landing) | Drones | Dimensions | 8.4m diameter, 5m length, 1.8m width, 2.73m height |
| PTP300 (Vertical Take-Off and Landing) | Drones | Maximum Take-Off Weight | 600kg |
| PTP300 (Vertical Take-Off and Landing) | Drones | Take-Off Method | Vertical Take-Off and Landing (VTOL) |
| PTP300 (Vertical Take-Off and Landing) | Drones | Recovery Method | Autonomous Return-to-Home |
| PTP300 (Vertical Take-Off and Landing) | Drones | Maximum Endurance | 6h (continuous logistics operations) |
| PTP300 (Vertical Take-Off and Landing) | Drones | Maximum Range | 450km (long-range transportation) |
| PTP300 (Vertical Take-Off and Landing) | Drones | Maximum Control Distance | 450km (ground station control) |
| PTP300 (Vertical Take-Off and Landing) | Drones | Cruise Speed | 90-140km/h (stable transportation) |
| PTP300 (Vertical Take-Off and Landing) | Drones | Maximum Speed | 160km/h (rapid response transportation) |
| PTP300 (Vertical Take-Off and Landing) | Drones | Cruise Altitude | &le;4000m |
| PTP300 (Vertical Take-Off and Landing) | Drones | Maximum Ceiling | 4500m |
| PTP300 (Vertical Take-Off and Landing) | Drones | Wind Resistance | Level 8 (stable operation in harsh weather) |
| PTP300 (Vertical Take-Off and Landing) | Drones | Communication System | Satellite Communication (long-range data transmission) |
| PTP300 (Vertical Take-Off and Landing) | Drones | Control Method | Ground Station (authorized personnel operation) |
| PTP300 (Vertical Take-Off and Landing) | Drones | Logistics &amp; Support Delivery | 280kg (legitimate logistics &amp; support equipment) |
| PTP300 (Vertical Take-Off and Landing) | Drones | Return Function | Autonomous Return-to-Home (enhanced safety) |
| PTP300 (Vertical Take-Off and Landing) | Drones | Propulsion System | Oil-powered (high endurance for heavy payload) |
| PTP300 (Vertical Take-Off and Landing) | Drones | Other Features | Heavy-Load Logistics Transportation Capability |
| PTP300 (takeoff from taxiway) | Drones | Weight | 260kg |
| PTP300 (takeoff from taxiway) | Drones | Dimensions | 8.6m diameter, 5.3m length, 1.8m width, 2.73m height |
| PTP300 (takeoff from taxiway) | Drones | Maximum Take-Off Weight | 600kg |
| PTP300 (takeoff from taxiway) | Drones | Take-Off Method | Taxiway Take-Off and Landing (250m minimum taxi distance) |
| PTP300 (takeoff from taxiway) | Drones | Recovery Method | Autonomous Return-to-Home |
| PTP300 (takeoff from taxiway) | Drones | Maximum Endurance | 6h (continuous logistics operations) |
| PTP300 (takeoff from taxiway) | Drones | Maximum Range | 450km (long-range transportation) |
| PTP300 (takeoff from taxiway) | Drones | Maximum Control Distance | 450km (ground station control) |
| PTP300 (takeoff from taxiway) | Drones | Minimum Take-Off Taxi Distance | 250m (taxiway requirement) |
| PTP300 (takeoff from taxiway) | Drones | Cruise Speed | 90-140km/h (stable transportation) |
| PTP300 (takeoff from taxiway) | Drones | Maximum Speed | 160km/h (rapid response transportation) |
| PTP300 (takeoff from taxiway) | Drones | Cruise Altitude | &le;4000m |
| PTP300 (takeoff from taxiway) | Drones | Maximum Ceiling | 4500m |
| PTP300 (takeoff from taxiway) | Drones | Wind Resistance | Level 8 (stable operation in harsh weather) |
| PTP300 (takeoff from taxiway) | Drones | Communication System | Satellite Communication (long-range data transmission) |
| PTP300 (takeoff from taxiway) | Drones | Control Method | Ground Station (authorized personnel operation) |
| PTP300 (takeoff from taxiway) | Drones | Payload Capacity | 340kg (legitimate logistics &amp; support equipment) |
| PTP300 (takeoff from taxiway) | Drones | Return Function | Autonomous Return-to-Home (enhanced safety) |
| PTP300 (takeoff from taxiway) | Drones | Propulsion System | Oil-powered (high endurance for heavy payload) |
| PTP300 (takeoff from taxiway) | Drones | Other Features | Heavy-Load Logistics Transportation Capability |
| PTM110 (Multi-rotor) | Drones | Weight | 60kg |
| PTM110 (Multi-rotor) | Drones | Dimensions | 3050mm\*3075mm\*1100mm |
| PTM110 (Multi-rotor) | Drones | Maximum Take-Off Weight | 110kg |
| PTM110 (Multi-rotor) | Drones | Take-Off Method | Vertical Take-Off and Landing (VTOL) |
| PTM110 (Multi-rotor) | Drones | Recovery Method | Autonomous Return-to-Home |
| PTM110 (Multi-rotor) | Drones | Maximum Endurance | 170min (continuous logistics operations) |
| PTM110 (Multi-rotor) | Drones | Maximum Range | 120km (medium-range transportation) |
| PTM110 (Multi-rotor) | Drones | Maximum Control Distance | 20km (ground station control) |
| PTM110 (Multi-rotor) | Drones | Take-Off Requirements | No taxiway needed (VTOL capability) |
| PTM110 (Multi-rotor) | Drones | Cruise Speed | 43km/h (stable transportation) |
| PTM110 (Multi-rotor) | Drones | Maximum Speed | 54km/h (rapid response transportation) |
| PTM110 (Multi-rotor) | Drones | Cruise Altitude | &le;2000m |
| PTM110 (Multi-rotor) | Drones | Maximum Ceiling | 3200m |
| PTM110 (Multi-rotor) | Drones | Wind Resistance | Level 6 (stable operation in harsh weather) |
| PTM110 (Multi-rotor) | Drones | Communication System | Data Link (reliable short-range transmission) |
| PTM110 (Multi-rotor) | Drones | Control Method | Ground Station (authorized personnel operation) |
| PTM110 (Multi-rotor) | Drones | Payload Capacity | 50kg (legitimate logistics &amp; support equipment) |
| PTM110 (Multi-rotor) | Drones | Return Function | Autonomous Return-to-Home (enhanced safety) |
| PTM110 (Multi-rotor) | Drones | Propulsion System | Oil-powered (high endurance for medium payload) |
| PTM110 (Multi-rotor) | Drones | Other Features | Long-Endurance Multi-rotor Logistics Platform |
| T3000 | Drones | Weight | 19kg |
| T3000 | Drones | Dimensions | 1960mm\*1740mm\*760mm |
| T3000 | Drones | Maximum Take-Off Weight | 31kg |
| T3000 | Drones | Take-Off Method | Vertical Take-Off and Landing (VTOL) |
| T3000 | Drones | Recovery Method | Autonomous Return-to-Home |
| T3000 | Drones | Maximum Endurance | 60min (continuous logistics operations) |
| T3000 | Drones | Maximum Range | 54km (short-range transportation) |
| T3000 | Drones | Maximum Control Distance | 20km (ground station control) |
| T3000 | Drones | Take-Off Requirements | No taxiway needed (VTOL capability) |
| T3000 | Drones | Cruise Speed | 43km/h (stable transportation) |
| T3000 | Drones | Maximum Speed | 54km/h (rapid response transportation) |
| T3000 | Drones | Cruise Altitude | &le;2000m |
| T3000 | Drones | Maximum Ceiling | 3200m |
| T3000 | Drones | Wind Resistance | Level 6 (stable operation in harsh weather) |
| T3000 | Drones | Communication System | Data Link (reliable short-range transmission) |
| T3000 | Drones | Control Method | Ground Station (authorized personnel operation) |
| T3000 | Drones | Payload Capacity | 12kg (legitimate logistics &amp; support equipment) |
| T3000 | Drones | Payload Mounting Points | 5 points (6kg rated capacity per point, 12kg total safe load) |
| T3000 | Drones | Return Function | Autonomous Return-to-Home (enhanced safety) |
| T3000 | Drones | Propulsion System | Electric-powered (clean energy for lightweight payload) |
| T3000 | Drones | Other Features | Lightweight Multi-rotor Logistics Platform |
| PTF25 | Drones | Weight | 1.55kg |
| PTF25 | Drones | Dimensions | 390mm wingspan, 450mm length |
| PTF25 | Drones | Maximum Take-Off Weight | 4.55kg |
| PTF25 | Drones | Take-Off Method | Vertical Take-Off and Landing (VTOL) |
| PTF25 | Drones | Recovery Method | Remote Manual Landing |
| PTF25 | Drones | Maximum Endurance | 40min (continuous lightweight logistics operations) |
| PTF25 | Drones | Maximum Range | 60km (short-range transportation) |
| PTF25 | Drones | Maximum Control Distance | 15km (remote controller operation) |
| PTF25 | Drones | Take-Off Requirements | No taxiway needed (VTOL capability) |
| PTF25 | Drones | Cruise Speed | 110km/h (stable transportation) |
| PTF25 | Drones | Maximum Speed | 180km/h (rapid response transportation) |
| PTF25 | Drones | Cruise Altitude | &le;500m |
| PTF25 | Drones | Maximum Ceiling | &gt;500m |
| PTF25 | Drones | Wind Resistance | Level 6 (stable operation in harsh weather) |
| PTF25 | Drones | Reconnaissance Equipment | Camera (for situational awareness &amp; logistics monitoring) |
| PTF25 | Drones | Communication System | Digital/Analog Image Transmission (reliable short-range transmission) |
| PTF25 | Drones | Control Method | Remote Controller (authorized personnel operation) |
| PTF25 | Drones | Payload Capacity | 3kg (legitimate lightweight logistics &amp; support equipment) |
| PTF25 | Drones | Payload Mounting Points | 1 point (3kg rated capacity per point) |
| PTF25 | Drones | Return/Safety Function | Remote Return &amp; Safety Recovery Function (enhanced safety) |
| PTF25 | Drones | Propulsion System | Electric-powered (clean energy for ultra-lightweight payload) |
| PTF25 | Drones | Other Features | Ultra-Lightweight, High Maneuverability Logistics Platform |
| PT95 | Drones | Weight | 55kg |
| PT95 | Drones | Dimensions | Wingspan 5100mm, Length 2905mm |
| PT95 | Drones | Maximum Take-Off Weight | 100kg |
| PT95 | Drones | Take-Off Method | Vertical Takeoff and Landing |
| PT95 | Drones | Recovery Method | Autonomous Return to Base |
| PT95 | Drones | Maximum Endurance | 10h (continuous long-range security operations) |
| PT95 | Drones | Maximum Range | 1100km (long-range security patrol) |
| PT95 | Drones | Maximum Control Distance | 200km (ground station control) |
